	reply_text
1018	ladies and gentlemen, don't tip your waitress as it perpetuates wage slavery.
1019	They would need a helluva huge cannon..........
1020	Does Missouri, St. Louis County &amp; have rules &amp; laws about cops using deadly force? What are they?
1021	yes but cops only shoot for stealing material things. Not peoples life savings.
1022	The halls of congress would be empty too. And every union official would be waiting for a coroner pick up.
1023	He went there. “: If we shot everyone in the street for stealing, imagine the carnage on Wall St. ”
1024	there'd be no one left in government
1025	this is mike brown stop lying and get your facts straight next time you insult another HUMANS life
1026	is that Mike Brown? the guy in these pics looks a lot bigger than the pics of Mike Brown in prior still photos released?
1027	He is large. In the store photos you have some prospective unlike the still photos.
1028	i'd be a bad witness
1029	oh well that just justifies everything doesn't it.
1030	no I'm sure the violent felon put his hands right up and the evil policeman after yrs of service decided to kill fun!
1031	are you afraid of admitting you're a racist? Are you afraid of being called a racist?
1032	race doesn't matter to me nor should it matter to this case. You are the racist. Facts don't matter u Just blindly follow the herd.
1033	you do a lot of bitching and whining, but never make any points.
1034	
1035	yep this picture proves he wasn't on his knees with his hands up. And the Mr Wilson didn't empty his gun on him. Nice work.
1036	check your facts and the pics from what he was wearing when he was gunned down, smh
1037	doesn't excuse murder
1038	Good folk of Ferguson, Support your Police Dept., Riot against the THUGS in your town.
1039	if there was a black person in an altercation in a convenience store, that totally justifies killing another black person, right?
1040	JUSTICE FOR THE POLICE DEPT. they were doing their job &amp; protecting your sorry butts.
1041	are you really justifying the murder of an unarmed kid? o
1042	He wasn't a kid, an Adult who was robbing a business.
1043	you are saying that's mike brown in the picture? It's not. Two events unconnected. What's your point?
1044	I think is saying: tough guy in pic is low life scum whether it's the late Mr. Brown or not
1045	then what's the relevance?
1046	low life scum I think
1047	still unclear in the context of the shooting of an unarmed teen. But ok.
1048	A black cop shot Mr. Brown if he is charged (it will be racist) there will be more riots.
1049	is an ADULT
1050	I said teen not child but again, how is the pic relevant?
1051	You are a Peter Piper follower. Monkey see, monkey do.
1052	what point are you making about the photo?
1053	are you justifying the murder of an unarmed ADULT?
1054	Wait, so why didn't we shoot down the ARMED (white) men who shot up theaters and schools?
1055	They killed themselves, Thugs are thugs whatever color they are.
1056	um, they killed themself.
1057	.
1058	Aaaaand this:
1059	
1060	James Holmes is still alive. So is the guy who shot a congresswomen in Az.
1061	"Call me ""dumb"" all you want. Just realize that probably makes your tawdry, feeble-minded ass stupid (at best) in comparison."
1062	YES, it was JUSTIFIED
1063	you're one sick racist bitch
1064	You're one sick stupid person.
1065	If this is real, I feel one of those moments coming on both sides, the neighborhood and the police.
1066	red hat?
1067	umm wasn't Mike Brown wearing pants, and shoes?
1068	that dude is huge
1069	Waiting to see an outpouring of sympathy for the owner of the store that was attacked. Not holding my breath.
1070	That person does not look . It actually looks a lot like a looter with their face covered that was photographed by
1071	Take a look at college football players, roughly same size and maturity (in terms of looking older).
1072	my brother played, I'm familiar with their size
1073	This proves what? RT Update: police release stills from convenience store footage showing robbery
1074	That maybe he did try &amp; take cops gun though window (something witnesses could not see). This goes toward CHARACTER.
1075	"poor baby ""he din do nuffin"" lol"
1076	Gentle giant.
1077	I didn't head you
1078	Wow!
1079	I'm looking for his read hat and his flip flops can you find them?
1080	here goes the fukkry now look at his picture.o wait he is black robber black. Has it been confirmed. Or just blow smoke our bum
1081	if the officer did his job he would be arrested not murdered. Still the point.
1082	Gentle Giant, RIGHT. Go arrest that partner he had too.
1083	Targeting the soldiers is a stupid act. They have not decided to go in ...
1084	AND war memorial, or is this same?
1085	“: BREAKING - Shooting on Parliament Hill. RCMP have weapons drawn ”
1086	“: BREAKING - Shooting on Parliament Hill. RCMP have weapons drawn ”
1087	“: BREAKING - Shooting on Parliament Hill. RCMP have weapons drawn ” holy shit
1088	lock it down! find the criminals.. wait, the buildings full of criminals!
1089	“: BREAKING - Shooting on Parliament Hill. RCMP have weapons drawn ” sirens galore down here
1090	any updates?
1091	“: BREAKING - Shooting on Parliament Hill. RCMP have weapons drawn ” Oh Canada!
1092	it's probably
1093	Soo... Its tomorrow night!?
1094	There ya go. RT : In response to inquiries, we can confirm that Prince will not be performing at tonight.
1095	Err, twist? RT : In response to inquiries, we can confirm that Prince will not be performing at tonight.
1096	But rd Eye Girl will be? Did you ask LN if The Artist Formerly Known As is playing?
1097	maybe tomorrow?
1098	“: In response to inquiries, we can confirm that Prince will not be performing at tonight.”
1099	thank you for that tweet!! MUCHO APPRECIATEO
1100	“: In response to inquiries, we can confirm that Prince will not be performing at tonight.”
1101	Poor suckers in line! “: In response to inquiries, we can confirm that Prince will not be performing at tonight.”
1102	Tomorrow Night?
1103	“?!?!? : In response to inquiries, we can confirm that Prince will not be performing at tonight.”
1104	"""Change of plans."" Hmmm."
1105	What about tomorrow night? in still a possibility?
1106	This is what it feels like/when doves cry RT : we can confirm that Prince will not be performing at tonight.
1107	aw man! That got my funny bone!
1108	WHAT THE HELL EVEN JUST HAPPENED TODAY
1109	How dreadful.
1110	why does one feel that this may have something to so with freedom of speech -
1111	"Nowhere is safe anymore? """
1112	died
1113	oh my gosh
1114	SAD indeed......
1115	“: BREAKING: At least killed in shooting at French satirical newspaper Charlie Hebdo, Paris prosecutor's office says.
1116	killed
1117	actually that wasnt me it was the cats present me but it was floping like aflipperedfish so i spatonitandthrewitinthegardenbed
1118	the headlesschookìmpersonatingghekowithnotail gotaway oh unlesthecatateit anyway im stil last withonly beetles
1119	curly wurlys are so much nicer than half avocados dont u think?
1120	"(9 journalists and policemen) killed and injured. Moreover witnesses affirm that they said ""We're gonna avenge our prophet"""
1121	Omg...what is the world turning into. ..
1122	prayers being sent
1123	thank you
1124	“: At least killed in shooting at French satirical newspaper Charlie Hebdo, Paris prosecutor's office says. ”
1125	Sad sad day
1126	Oh and our anti-terrorist plan has just been put to its highest level in the part in which the drama's happening.
1127	
1128	Killed now
1129	A person killed his own son &amp; daughter bcz authority neglected his rights of social security benefits.
1130	May God have mercy on our world. Not France this time for these killings
1131	How could this happen? France has pretty restrictive gun laws.
1132	Indeed but illegal traffics still exist and gunfights are not that rare in hard districts
1133	when will we hear good new like the people are living in peace, hmmmm.....killing every day
1134	gm wow just cld Potus all but N wrd on air.Birthers
1135	when u spew racism,hate of us blks&amptus u shw slvs
1136	they just went aft Potus,Flotus&amp;fam going on vacation lk whites do daily
1137	&gt; Obamas cnt vac per racist
1138	Potus blk per cnt go golf.wow
1139	we blks Potus see &gt; racism runs deep
1140	“: A woman in was shot in head last night and released this selfie: ”
1141	wow.
1142	as reported by ; injured in a RANDOM drive-by shooting per Lt. Col w/
1143	The story is true.
1144	which version?
1145	Shooting related to protesting. Ppl on the street are upset about this. Also, mo pregnant woman forced facedown on ground
1146	she's been reporting on the story for days diligently. I don't think she would be violent.
1147	“: A woman in was shot in head last night and released this selfie. ”
1148	compelling photo. It's always miraculous to hear about a headshot victim surviving.
1149	- A MONTH LATER; police have YET to interview . The ambulances came only after numerous calls.
1150	Holy Moses. I never used to believe it, but social media really is changing everything about how we interact and see.
1151	Not minding ur own business is often the first step towards big problems.No matter what color u are or how much money u have
1152	This is terrible. The police is out of control and needs to be stopped asap.
1153	“: A woman in was shot in head last night, took selfie. ” EVERYTHING WRONG WITH THIS WORLD⬆️
1154	wow
1155	crazy right?
1156	and shame on people like your boy skolnik giving it pub... just perpetuates ridiculous things like that (the selfie)
1157	"""my boy"" is a bit much. I just follow to get ridiculous shit like this."
1158	. french news are reporting at least ppl were killed and ppl injuried in a gunfight with the islamists
1159	All the suspects are called 'Lee Harvey Oswald'. That's amazing.
1160	bring back the guillotine
1161	is ambulance in convoy?
1162	He's a moron, Islamic terrorism, stop pussy footing around it.
1163	Little LATE on the ball, aren't you?
1164	It's Monday in Australia, this is from a few hours ago.
1165	Sorry.I have been watching the coverage for a while now. Just thought AP was quicker than that. Tweet was posted min ago.
1166	I see, wasn't sure if that was what you meant. They could have been waiting for the briefing to end.
1167	: Hostage situation erupts in Sydney cafe, Australian prime minister says it may be “politically motivated”
1168	Politically Motivated? Really? Why's that then?
1169	*checks watch* Need a few more hours for your lawyers to check your facts? lol
1170	is headed there to beg the hostage takers to surrender.
1171	": Hostage situation erupts in Sydney cafe, Australian prime minister says it may be ""politically motivated"""
1172	"“: Hostage situation erupts in Sydney cafe, Australian prime minister says it may be ""politically motivated"" ”"
1173	u r just now reporting on this? Wow
1174	in other news, sky is blue.
1175	Australian Govt language specialists defined these words as all-encompassing meaning any action perpetrated against Australian citizens
1176	Its about chocolate!
1177	perfect first comment
1178	"""may be"" really? (forehead smack)"
1179	"Actually, he said ""We don't know if it's politically motivated"". Check your facts, guys."
1180	“: Three men including two brothers identified in France newspaper attack: source ”
1181	Go to hell
1182	
1183	
1184	
1185	
1186	NO. We are witness on how the world have let terrorist walk on our streets. Why they were out of Jail? The Media
1187	did shooting not happen in paris
1188	
1189	the Muslim policemen who died protecting the Charlie who ridiculed his faith
1190	superb! raping an unsuspecting child with a message it can't make a choice about is always a superb photo op. thanks,
1191	a Fuck head u are
1192	it is well meaning but clueless people like you such imagery targets
1193	FUCK OFF DONT SPREAD THIS ILL PERSON AS A HERO !
1194	
1195	
1196	My support.
1197	. I knew it! Those crazy bastards are the only ones evil enough to do shit like that!
1198	MSM refuses to say muslim. Just a mental case. As are all muslim/jihads.
1199	this is not a surprise.
1200	Hmmm.Doesn't pundit mean joke? I haven't seen this on news.
1201	i knew that scarf he was wearing in that photo meant trouble!
1202	Isn't Islam a wonderfully peaceful religion? I wonder how Iran will do with all of the peaceful centrifuges O gave?
1203	had meeting with former president in
1204	“: Breaking: Gunman at Paris store threatens to kill hostages if suspects are harmed. ” smh
1205	how would they know if they are harmed or not? Is there some kind of communication between the suspects?
1206	Before attack, French began ceding control of neighborhoods to Islamists...
1207	the terrorist had meeting with président in
1208	
1209	“: Breaking: Gunman at Paris store threatens to kill hostages if suspects are harmed. ” smfh
1210	Well that guys a nut.
1211	Omg “: Breaking: Gunman at Paris store threatens to kill hostages if suspects are harmed. ”
1212	seems it would behoove police to kill that particular gunman first then.
1213	“: Breaking: Gunman at Paris store threatens to kill hostages if suspects are harmed. ”
1214	“: Breaking: Gunman at Paris store threatens to kill hostages if suspects are harmed. ” What a mess
1215	Mr Putin building the nation is great. Good country man and best president
1216	Given the state of Russian medical facilities, makes sense she would run to Switzerland. Not very patriotic, though.
1217	Makes no sense though. Why go to Switzerland for that? Too much hassle.
1218	“: Swiss Rumorsutin absence due to girlfriendAlina giving birth ”
1219	Welcome Sir!
1220	of course,keep dreaming
1221	My money still could have shaken security
1222	At least its not Merkel so we would have a problem.
1223	have you read this? Is Andrei Illarionov a reliable source in your opinion?
1224	Both have proved their flexibility!
1225	I am flying with in weeks!!! SO FUCKING SCARED“:no survivors in the crash. ”
1226	BREAKING - Germanwings plane crashes in France, up to believed dead
1227	condolences to the families! My prayers are with them!
1228	“: A shot that captures the : sheer terror/relief of escaped hostages ” so distressing
1229	the identity of hostages should not go public
1230	agreed. No naming hostages. We do not need to know. Please respect them.
1231	FFS, she's been through enough without you plastering close ups of her face all over twitter. Leave her alone.
1232	amen to that!!! Bloody media. Leave the poor girl alone.
1233	Better than the cretins posting selfies from the same area
1234	seconded
1235	some people have no heart taking selfies when around the area
1236	this was live on TV so they didn't have time to blur faces. Keep in mind it's LIVE, no time for editing.
1237	So relieved some have escaped/been released. The eerience will haunt them though. Brave police.
1238	all I want to do is give her a hug. Poor girl. Does bring tears to the eye
1239	they'd be the best arms in the world to have around you after the ordeal she'd have gone through
1240	So horrendously terrifying.
1241	powerful shot
1242	Why is her face not obscured? Think about he family.
1243	I understand what you're saying but that would kind of defeat the purpose, apt.
1244	I'm just finding a lot of the gratuitous photo tweeting a bit of a strain.
1245	Agree, but that image is a powerful encapsulation of how awful this whole thing is. Really brings it home.
1246	I know why it is being circulated but perhaps I wish it was being used with some more restraint.
1247	she's kinda cute considering she's all scared out of her mind and all.
1248	Is she an actress? This photo makes my conspiracy senses tingle...ya' know?
1249	.lol.....anything is possible.
1250	this really saddens me. Why can't people just get along? Those people are innocent
1251	
1252	“: Five Hostages Escape Sydney Cafe Siege — Live Updates From ”
1253	Gelukkig! “: Hostages Escape Sydney Cafe Siege — Live Updates From ”
1254	Whoa die vine. RT : Five Hostages Escape Sydney Cafe Siege
1255	
1256	its about time...
1257	I WILL KEEP THE BROWN FAMILY IN PRAYERS!
1258	dont plan on it release it already. Brown
1259	better than the crap sparking ice buy available now on amazon
1260	whos the man in blk,
1261	Well, Darrel Wilson is officially screwed!
1262	All this because they are black people ,,who are in America second class
1263	they don't have a choice under MO law
1264	how will that make a difference to the grieving gamin and unrest / distrust in
1265	
1266	then put him under /7/365 guard???
1267	that is a really stupid announcement by the Ferguson police
1268	More kissing blacks butt
1269	FergusonMO Police Officer is Darren Wilson who shot&amp;killed . Also a video too of Strong Armed robbery.
1270	also, maybe just window cleaners-
1271	Might be a good idea to not tweet about police movement/location?
1272	showing the shooter where those police are???
1273	odd how they happened to be already ready for this, eh? doesn't look staged at all. nope. totally believable.
1274	you're an idiot its parliament hill. Of course they're prepared for situations like this you idiot!
1275	how the guy got that far leads me to suspect this is not what it seems.
1276	funny, a guy with a joint can't make it past the memorial flame, but a gunman, whoosh, right inside
1277	I've had concerns about that for a while
1278	Sure but in how many years has this happened? This is extremely unusual.
1279	very rare. but it has been increasingly likely as we chop away at ment hlth services
1280	/2 Violence doesn't automatically indicate a relationship to MH.
1281	true enough
1282	/2 If it did, every guy in the NHL would be institutionalized.
1283	In historical terms this is a blip. Screw those losers.
1284	"a) actual ""terror"", b) nutbars, c) false flag. all r plausible"
1285	That's rather specious. We don't know t MH situation. Can't b determined from a distance.
1286	i am only saying that all three scenarios are plausible.
1287	Ah true. Problem now is we'll probably only get coroner's details they won't make it.
1288	the truth will never come out. martial law is coming
1289	Not EVERYTHING will come out. But we will get details, especially these days.
1290	Call me bad Canuck, I hope those fucktards get their asses kicked.
1291	And I know they will too
1292	from the same cops and government who tell us that cancer-curing marijuana is evil.
1293	This one was pretty good. Stay strong! Odd day, but have a good one anyways.
1294	The science is ongoing, it can't cure, I got a link hang on...
1295	That's why there are professionals. Average citizen can only currently make a guess.
1296	days a year, the cops are % unbelievable. today, everyone lines up to suck them
1297	email me at dcdesk-america.com when you get a chance - good to know you are safe -Nathan
1298	very helpful why would you tweet that!!??
1299	because canada doesnt fuck around with security
1300	right &amp; terrorist don't have access to social media to find out where we have placed that valuable security!
1301	lmao you eect social media to shut down during a shooting? thats when most tweets happen fuckboi
1302	delete this you idiot
1303	Police action : Snipers NationalArtGallery we r barricadedCentreBlock ParliamentHill
1304	Stay safe, Matt!
1305	Stay safe, Matt.
1306	Stay safe.
1307	why would you tweet the location of snipers? Who does that help?
1308	. What a silly response. They are targets an embedded sniper. needs a make-over.
1309	Twice in one week!?!?!?!
1310	Not so much separated. There're links between them.
1311	meant it in the sense that it's different person/people. Links between them unclear at the moment, lots of rumours.
1312	A lot of shifting sands in the coverage right now. We'll know soon enough.
1313	Absolutly right.
1314	Speaking of
1315	Yes lots of mixed info coming out. Anyone else here about potential prison connection btwn planners?
1316	Previous connections about plot to freed a terrorist involved in Paris attack. Otherwise not yet.
1317	Thanks the clarification. Many ideas being floated by the media right now. Wish they wouldn't do this.
1318	Honestly, we need to wait official statement and investigations. By now, we all talk about rumors.
1319	"Agreed. As we say here in the States, ""hold your horses"". Lol!"
1320	what a shocker..
1321	Yes there is a link. It was confirmed officially today.
1322	so what happen to the Charlie hebbdo suspects man news coverage is so shifty in this story
1323	Officials have apparently confirmed that the deli is linked to &amp; killing of officer.
1324	Police have just confirmed the connection on
1325	It is a separate incident but the same cell?
1326	That's what the police are saying. I meant 'separate' as in different guys to the ones that did Charlie Hebdo attack.
1327	Thank you, Shiraz. I understand. What do you each think about all this? What is your reaction?
1328	I think we don't have enough facts about the big picture right now (AQAP/ISIS etc), we'll need to wait and see
1329	ok. I would like to hear your reactions, your personal thoughts, once you have had time to process these events.
1330	Are moderate protesting these acts of murder and violence?
1331	SIGN AND SHARE
1332	Who are you to eect any type of answer in the first place?
1333	a person who makes his living asking questions, that's who.
1334	it wasn't the quik stop that got burned down?
1335	. I've been in Market and it looks exactly like where the alleged robber was standing.
1336	thanks. Now we need a pic of what michael brown was wearing to refute the video.
1337	. Conflicting reports regarding a possible shooting on/near the Centre, but your GM said no shooting. Can you clarify at all?
1338	we were near here trying to drive to Wakefield. Stuck in tfc now
1339	Glad you guys are ok.
1340	glad you're safe too!! Was weird to be only car on rideau &amp; not know about the til afterwards
1341	any reports of shots fired inside the Rideau Centre or just nearby?
1342	Stay safe my friends. RT : We are in full lock down until further notice from Ottawa Police.
1343	Fyi .
1344	
1345	For Only $9 You Can Buy K Followers
1346	hum...
1347	MT : Three people appear to escape from Martin Place, Sydney, café, amid hostage situation - ”
1348	we results
1349	ISIS flag also shown! These sub-humans kept their word! they murder rape bomb all non believers of allah!
1350	it be a great war. The world finally needs one.. greed, selfishness, corruption
1351	they can never be
1352	Certainly not matyres - sorry no thousands of virgins waiting for them just fire and brimstone.
1353	, Hi Betty.. You are in Australia?
1354	But, you know, it's because they're muslim. We can't talk about that. GFY
1355	That is what they really want, another way would be a shame for them.
1356	“: Suspects in attack spoke to police by phone and said they wanted to die as martyrs, says MP. ”
1357	Thy wil bcum satans aftr death ! kep drmng abt martdm &amp; abt thse virgins n heavn ! N India we mde mny trrorsts, satans n kashmir !o
1358	call them back and elain to them the definition of martyrs
1359	The police r there trying to do a job under very difficult circumstances. We all realize how brave they r and thank them
1360	Good. Some assistance please Messieurs Les Gendarmes !
1361	"that should be no problem, millions wants to ""help"" them, but let the hostages free first"
1362	ok
1363	chai....by claiming innocent lives? that's really Awkward!
1364	tell them we want to help them as much as possible.
1365	“: Banksy says in a beautiful way (vi ) ”
1366	“: Banksy says in a beautiful way (vi ) ”
1367	“: Banksy says in a beautiful way (vi ) ” True and so sad!
1368	: Banksy says in a beautiful way (vi )
1369	How come we have to pussy foot around terrorism for hours before calling what it is.
1370	A high risk traveller! But a risk to and government officials , he was okay ?
1371	and still refuses to call it terrorism!
1372	They must put high risk travelers in civilian detaine camps to prevent attacks.US does this with suspect japs in WWII
1373	Pathetic.
1374	If Michael Zehaf-Bebeau had his passport confiscated doesn't it make sense to track his movements - was this done?
1375	yes, but CSIS can't watch that many /7
1376	micro chip them - Just an uncivil thought
1377	maybe we should start revoking passports AFTER they leave...
1378	Yes except in Australia there's a discussion to let 'sympathizers' reenter OZ to rehabilitate! WTF!
1379	It makes more sense to let them leave, and invalidate their passports before they return.
1380	the incident yesterday (car) in Canada was that a terrorist attack as well?
1381	sure looks like one
1382	Oh, so they already know where Z-B had gone to? Any travels to the Levant recently?
1383	no info yet
1384	That is so, so sad.
1385	"Shit! "" le grand Duduche"" was my youth..."
1386	I hate this. I hate that artists, journalists and funny people are killed in hate's name.
1387	Exactly.
1388	me too.
1389	oh my god! Horrific! Such waste and tragedy.
1390	RIP satire “: “: : “The cartoonists Charb &amp; Cabu are dead.” ””
1391	
1392	I protect my mental health by avoiding videos of atrocities. Seen too many IRL.
1393	no blood, just hear the shouting. I don't post any videos where u see blood or killing
1394	Brave men. Martyrs for freedom.
1395	Please RT - Download a hilarious FREE Koran PARODY
1396	A tragedy.
1397	Assassins did recon, knew victim names/faces, according to witnesses.
1398	as evidenced by the fact they killed cartoonists - not just random people
1399	“: “: : “The cartoonists Charb &amp; cabu are dead.” ””
1400	Nothing justifies this horrendous crime but why always mess with Islam?? Zillion things out there to make fun of
1401	What I mean is that they know Muslims take no jokes when it's related to their religion, book or prophet. Why do it?
1402	why do it? Hmm, because that's how societies evolve, by breaking down taboos, accepting ridicule
1403	Thanks for the info. Is your server lagging?
1404	not lagging, just answered your original question: no one, no nation or faith system above ridicule
1405	Oh well, as u may have noticed, some ppl disagree with you!
1406	I respect their right to disagree with me and will defend that right, even if I disagree with them
1407	Because *not* to do it for any religion creates a class of people who can't be criticised.
1408	true but there's a huge difference between being criticized and satirized, no?
1409	So Jon Stewart, John Oliver, Colbert, Private Eye all fair game? Freedom of speech includes ridicule.
1410	yes freedom of speech is v broad but some cultures r behind the anglo sans on self criticism, that's all.
1411	Freedom of speech shud never mean to give the press the right to trash others or ruin others image just bec they CAN
1412	So your answer to my question is yes. Enough said. Bye.
1413	It's not a matter of criticism, it's insulting and demeaning and offensive
1414	Good satire often is. Their latest cover attacks an ANTI-Muslim writer - and Jesus:
1415	Saw that b4, thanks anyway
1416	In other words, satire isn't satire and free speech isn't free speech if some people are 'beyond ridicule'.
1417	See my previous tweets. That's what Charlie Hebdo does. Latest cover savages an ANTI-Muslim writer - and Jesus.
1418	oh god. No.
1419	I don't know who they are but lives are lost. This is shit. RIP guys.
1420	tragedy
1421	Just awful.
1422	THEY JUST COULD NOT HAVE PICKED A MORE CONVENIENT TIME FOR.....THE USA GOVERNMEMT....JOHN MCCAIN STOP IT WITH YOUR PAID TERRORISTS!
1423	You are on crack. Your foolish comment invalidates any truth that may be buried within the nonsense.
1424	"Nice linkbait. but does a ""report"" of a suicide belt really rate a headline like your tweet?"
1425	Typical BS
1426	". ""another report claims hostage takers have suicide belts"" - no sourcing, no facts, just spreading hysteria. You folks SUCK."
1427	ok, time to calm down and report responsibly on - don't fill in the unknowns with fear-mongering!
1428	. Were you listening to the same news conference I was????? WHAT IS WITH ALL OF THE DISINFORMATION ON THIS EVENT???
1429	another Israeli false flag operation? This is what Abbott had been PRAYING for.
1430	People like you and these things that you say are what keep people like me (the establishment) laughing
1431	
1432	Conspiracy wackjob
1433	if you're part of the establishment then you're part of the problem.
1434	Hilarious! A like you can insult me, then block me so I can't respond?
1435	Does seem terribly convenient to Abbott's gov't.
1436	he will up oz's military budget then become a huge consultant / board member to 'defense' companies when he retires.
1437	Which report? Do not spread rumours
1438	Fuck religion.
1439	Thanks for sharing! You're now featured on
1440	FALSE FLAG OPERATION CIA BLACK OP
1441	You are on crack mate. Complete bunk is what you're spreading.
1442	Hey Aussie Sheeple wanna invade the middle east because of one wack job...:0
1443	IT'S AN OLD TIRED STORY!!! WE GOTTA NIP THIS IN THE BUD!
1444	when it started to appear on M$M the narrative was the same. ..Like say a Script..I mean 'goverMENt press release ..fishy..
1445	well tell everyone you know not to believe it..it's gonna fall apart I bet!
1446	has already. .msm may start interviewing CrISIS actors soon. ..
1447	CIA shills coming at me...lots of nasty names LOL like a give away! come on you gotta help
1448	You two should get together and have the world's stupidest baby.
1449	my yr old would outwit you moron. .. blocked
1450	Poor kid. Doesn't have a chance with a fuck-tard like you as a father.
1451	CIA FAKE PROFILE ONLY KNOW HOW TO INSULT THE TRUTH!
1452	that statement doesn't make you less stupid. Get yourself to Perth; the zoo of the future needs its idiot
1453	Deep inside 's story was this
1454	This sounds like made up BS
1455	They have also evacuated Sydney state library but I have no idea why
1456	They have also evacuated sydney opera house due to suspicious package
1457	It's not made up but I think there is only offender with muslim flag &amp; local news didn't mention suicide belt
1458	Apparently a hoax. Best to take Tweet down.
1459	That’s the photo tweeted this morning claiming to be of the soldier who was killed.
1460	Not a hoax. This is before the shooting
1461	It's not a hoax, but it also wasn't taken *after* the shooting.
1462	Really? Why would somebody post this without saying that? Twisted.
1463	Because people like love stealing other people's pics to get RTs.
1464	That may be harsh. He seems to be honouring. Just unaware of source.
1465	Don't steal other people's pictures without attribution. Pretty simple.
1466	The soldier on the right is the one who taken by visitor moments before shooting
1467	this matches the photo tweeted earlier today from a tourist who says it was taken moments before the shooting. /2
1468	I don't believe there are soldiers guarding this area right now. /2
1469	That photo was taken before the attack.
1470	wondered as well. I've reached out to someone who would know just to confirm that. Hopefully get response soon.
1471	This photo was taken this morning, before the shooting.
1472	So honoured to serve as Honorary Colonel in reserves. Job is to honour citizen soldiers like these brave men.
1473	
1474	O Lord Save All Hostages in Sydney &amp; Turn Militants Righteous Ways
1475	O Lord Save All Hostages in Sydney &amp; Turn Militants Righteous Ways
1476	O Lord Save All Hostages in Sydney &amp; Turn Militants Righteous Ways
1477	O Lord Save All Hostages in Sydney &amp; Turn Militants Righteous Ways
1478	
1479	O Lord Save All Hostages in Sydney &amp; Turn Militants Righteous Ways
1480	O Lord Save All Hostages in Sydney &amp; Turn Militants Righteous Ways
1481	O Lord Save All Hostages in Sydney &amp; Turn Militants Righteous Ways
1482	BREAKING: Three hostages appear to have escaped the Sydney cafe where a siege remains ongoing.
1483	“: BREAKING: Three hostages appear to have escaped the Sydney cafe where a siege remains ongoing. ”
1484	is that man holding hostages alone? or they are many?
1485	O Lord Save All Hostages in Sydney &amp; Turn Militants Righteous Ways
1486	O Lord Save All Hostages in Sydney &amp; Turn Militants Righteous Ways
1487	asians. Its imp. He does not want the asians
1488	“: BREAKING: Three hostages appear to have escaped the Sydney cafe where a siege remains ongoing. ”
1489	O Lord Save All Hostages in Sydney &amp; Turn Militants Righteous Ways
1490	For Only $9 You Can Buy K Followers
1491	news
1492	these fuckers thinking its a GTA heist mission
1493	Horrible! “: Charlie Hebdo shooting latest: dead and gunmen still at large ”
1494	paris terrorist attack “: Charlie Hebdo shooting latest:12 dead&amp;gunmen still at large ”
1495	Dua belas. RT : Charlie Hebdo shooting latest: dead and gunmen still at large
1496	your readers love Muslim multiculturalism so they can look forward to this in the UK soon.
1497	don't.
1498	good
1499	Great News!!! Take no prisoners. These bastards need to be exterminated on sight
1500	“: : Both Charlie Hebdo suspects killed as police storm building (police sources) http
1501	bad. They should have been captured alive for a proper trial.
1502	Yes, but think it was too dangerous.
1503	sweet they are finally with Allah
1504	
1505	: Both Charlie Hebdo suspects killed as police storm building (police sources)
1506	". Did they get those"" BOYS ""who lashed oUt against the C.H. artist?"
1507	Great job!!
1508	For the record this pic. is the other hostage site, the CharlieHebdo murderers were taken outside Paris: Dammartin
1509	good
1510	MT : widely shared cartoon about the attack by
1511	pm grateful for that tweet
1512	“: Cartoon abt is by not ” Lazy media often fooled by parody accounts
1513	are not afraid!
1514	Brilliant.
1515	Love this !
1516	The pen/pencil truly is mightier than the sword!
1517	Or is it... RT : Widely shared cartoon about attack actually by not
1518	Bullets will never stop the PEN!
1519	Does this cartoon means that hatred cartoons to holy values will continue?
1520	
1521	we must go on.
1522	“:This widely shared cartoon about the attack is actually by and not ”
1523	"How do you know? I thought the graffiti ""artist"" was supposed to be anonymous."
1524	By via By via
1525	
1526	
1527	Perhaps it's both.
1528	“: Five hostages have escaped the besieged Lindt Cafe in | su cara lo dice todo... ”
1529	
1530	Financial Times: Elaining Bahrain's land reclamation controversy on Vimeo -
1531	Terrorised “: hostages escaped besieged Lindt Cafe in | Our latest update:
1532	it's a four hour flight from Vancouver to Toronto and I'm so tempted lol
1533	get on board the seduction ....
1534	I only wish. The Commodore Ballroom is calling Prince's name with Vancouver, he'll be back around… hopefully!
1535	if you can make it tonight - do it
1536	I doubt it! I don't got the money to go all the way out there! If I did, I definitely would! It would be fun!
1537	and oh my god the show already sold out in Toronto?!?! damn.
1538	I don't think it's even been on sale yet
1539	"ohhhh! alright! I was confused because it said ""no longer on sale""!"
1540	go!!!!! I would if I could!!
1541	no moneyyyyy
1542	oh no
1543	
1544	I wld def go if I was only hrs away. I once flew hrs C him in Vegas. Best night of my life!
1545	it's across the country and hours away lol and it's like $300 I think
1546	“: Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo live updates ” how horrific!
1547	muslims,,this is the magazine that published the Mohamed cartoon a few years ago
1548	This is their true colour
1549	“: Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates ” More tragedy
1550	“: Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates ”
1551	“: Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates ”
1552	Shocking news.
1553	horrible news and a attack on the press!
